timestamp,avg_ns,max_ns,calls
1757667423,54.23,29939,396918
1757667424,53.99,46956,796382
1757667425,53.88,69560,1196426
1757667426,53.97,69560,1595973
1757667427,53.93,69560,1998831
1757667428,53.84,69560,2409341
1757667429,53.82,69560,2804881
1757667430,53.78,69560,3207297
1757667431,53.74,69560,3614587
1757667432,53.73,69560,4012800
1757667433,53.72,69560,4423917
1757667434,53.84,69560,4810146
1757667435,53.81,69560,5216418
1757667436,53.86,69560,5604514
1757667437,53.88,69560,6006610
1757667438,53.83,69560,6422651
1757667439,53.83,69560,6832266
1757667440,53.81,69560,7222647
1757667441,53.82,69560,7609495
1757667442,53.85,69560,7993862
1757667443,53.87,106255,8383094
1757667444,53.82,106255,8780194
1757667445,53.79,106255,9167922
1757667446,53.76,106255,9561082
1757667447,53.76,106255,9952256
1757667448,53.76,106255,10147350
1757667449,53.76,106255,10147363
1757667450,53.77,106255,10147372
1757667451,53.77,106255,10147381
1757667452,53.77,106255,10147387
1757667453,53.77,106255,10273985
1757667454,53.75,106255,10597945
1757667455,53.76,106255,10950577
1757667456,53.77,106255,11302945
1757667457,53.80,106255,11645972
1757667458,53.81,106255,12000232
1757667459,53.81,106255,12371720
1757667460,53.79,106255,12739232
1757667461,53.80,106255,13109810
1757667462,53.80,106255,13477756
1757667463,53.80,106255,13843956
1757667464,53.80,106255,14219340
1757667465,53.78,106255,14595532
1757667466,53.80,106255,14969020
1757667467,53.83,106255,15336188
1757667468,53.86,106255,15689404
1757667469,53.84,106255,16067276
1757667470,53.82,106255,16448260
1757667471,53.82,106255,16823036
1757667472,53.83,106255,17203628
1757667473,53.82,106255,17581244
1757667474,53.82,106255,17960236
1757667475,53.83,106255,18337219
1757667476,53.82,106255,18714075
1757667477,53.82,106255,19089522
1757667478,53.81,106255,19469170
1757667479,53.80,106255,19853874
1757667480,53.79,106255,20244130
1757667481,53.81,106255,20626696
1757667482,53.80,106255,21009536
1757667483,53.79,106255,21226163
1757667484,53.79,106255,21226165
1757667485,53.79,106255,21226198
1757667486,53.79,106255,21226213
