learning_rate,max_depth,n_estimators,num_leaves,Accuracy,AUC,Precision,Recall,F1,ModelSize_KB
0.15,7,120,28,0.995812343222008,0.9998043048990023,0.9886713352593895,0.9859930160818027,0.9873303593128915,374.44140625
0.15,7,120,26,0.9957838381325539,0.9997988315455634,0.9885159426660596,0.9859773570723916,0.9872450179526177,349.97265625
0.15,7,120,30,0.9957592201007526,0.9998028089940059,0.9885295710954612,0.9858129374735755,0.9871693852830145,398.01953125
0.15,7,110,28,0.9957371934407198,0.9997994051403272,0.988336315971241,0.9858755735112197,0.9871044111537044,343.69140625
0.15,7,110,30,0.9957099840371499,0.9997975388695012,0.9883650637880275,0.9856798358935813,0.987020623527521,365.84765625
0.12,7,120,30,0.9956970271783071,0.999786991247699,0.9884331786378949,0.9855310753041763,0.9869799936487774,400.12890625
0.15,7,110,26,0.9956788875759272,0.9997901522854699,0.9881405552198039,0.9857189834171091,0.9869282839012116,321.19140625
0.15,7,100,28,0.9956555652300102,0.9997944251865761,0.9881772006814203,0.9855389048088818,0.9868562894203518,312.95703125
0.15,7,120,24,0.9956529738582416,0.999787595087324,0.988123366276012,0.9855780523324095,0.9868490680673422,325.01953125
0.15,6,120,30,0.9956374256276302,0.9997699249101327,0.9883292624502266,0.9852727016488937,0.9867986151680658,395.23828125
0.15,7,100,30,0.9956348342558616,0.9997903105300358,0.9881450542893706,0.9854449507524154,0.9867931554910916,332.84765625
0.12,7,110,30,0.9956296515123245,0.9997766584458582,0.9881523471542865,0.9854058032288877,0.9867771640486261,367.06640625
0.15,7,90,30,0.995617990339366,0.9997809827073093,0.9880059028540927,0.9854840982759431,0.9867433893335633,300.45703125
0.12,7,120,28,0.9956115119099447,0.9997873112317653,0.9881203822206169,0.9853275081818325,0.9867219689277608,375.03515625
0.15,7,110,24,0.9955959636793333,0.9997785257499692,0.9879123725500969,0.9854449507524154,0.9866771190592847,298.31640625
0.15,7,100,26,0.9955894852499119,0.9997796212874008,0.9877664082362911,0.9855545638182929,0.9866592464277036,292.26953125
0.15,7,90,28,0.9955700499616477,0.9997848416561914,0.9878798345252019,0.9853196786771269,0.9865980957458068,282.06640625
0.15,6,110,30,0.9955635715322263,0.9997902850139733,0.9882626526090851,0.9848890559183227,0.9865729702597565,362.28515625
0.12,7,120,26,0.9955635715322263,0.9997678451139907,0.988477560323823,0.9846698297865677,0.9865700210235652,350.33203125
0.15,6,120,20,0.9955532060451521,0.9997813245605497,0.988553639093725,0.9845288987018681,0.9865371640175111,274.94140625
0.15,6,120,24,0.9955428405580778,0.999766953565262,0.9878318757752272,0.9852022361065439,0.9865153035624686,324.34765625
0.15,7,100,24,0.995538953500425,0.9997429517212122,0.9876554836178144,0.9853588262006545,0.9865058182145978,271.64453125
0.15,6,120,26,0.9955324750710036,0.9997270194686879,0.9882757861981172,0.9846854887959787,0.9864773707741784,347.81640625
0.15,6,120,22,0.9955259966415821,0.9997775549300427,0.9883674319534068,0.9845523872159847,0.9864562209993293,299.50390625
0.12,7,110,28,0.9955117440968551,0.9997778689210558,0.9877529871720391,0.9850926230406665,0.9864210113680909,344.00390625
0.12,7,120,24,0.9954767605779795,0.9997772539158742,0.988525273498022,0.9840904464383583,0.9863028747876377,325.55078125
0.12,7,100,28,0.9954676907767896,0.9997658417140828,0.9874817523976958,0.9851004525453719,0.9862896651197792,313.19140625
0.15,7,120,22,0.9954676907767896,0.9997168037076519,0.9876501530972757,0.9849282034418503,0.9862873002681386,299.66015625
0.12,7,110,26,0.995465099405021,0.999754718437025,0.9882709935065956,0.9842783545512911,0.9862706332768468,321.47265625
0.15,6,110,24,0.9954547339179468,0.9997504034872955,0.9875037284729744,0.9849986689842001,0.9862496080275949,297.59765625
0.12,7,110,24,0.995450846860294,0.9997664605910442,0.988216242561454,0.9842470365324689,0.986227645912031,298.80078125
0.15,7,80,28,0.9954391856873355,0.9997707641564039,0.9879775581084691,0.9844192856359907,0.9861952122486117,251.20703125
0.15,6,110,22,0.9954340029437984,0.9997670384526676,0.9880692267790057,0.9842940135607021,0.9861780071855536,274.86328125
0.1,7,120,30,0.9954365943155669,0.9997725239320103,0.988707011883214,0.9836598236795541,0.9861769600301422,401.03515625
0.15,6,110,20,0.9954340029437984,0.9997722024040947,0.988261102025412,0.9840982759430639,0.9861752959914635,252.39453125
0.1,7,120,28,0.9954262288284926,0.9997660938842594,0.9878079436902967,0.9845132396924571,0.9861578398387565,376.12890625
0.12,7,100,24,0.9954223417708398,0.9997590919375476,0.9881758217568024,0.9841139349524749,0.9861406956719585,272.11328125
0.12,6,120,30,0.9954210460849555,0.999767652418486,0.9882525004717871,0.9840278104007141,0.9861356307228774,393.11328125
0.15,7,80,30,0.9954145676555342,0.9997666455125989,0.9869730598800047,0.9852961901630103,0.9861339121644653,267.48828125
0.12,7,120,22,0.9954119762837655,0.9997498612375374,0.9875387695810922,0.9847011478053899,0.9861179173347656,300.76953125
0.12,7,100,30,0.9954067935402284,0.9997673275111202,0.9869724468427203,0.9852492131347771,0.9861100771488239,334.00390625
0.1,7,120,26,0.9954067935402284,0.99976745621589,0.9872858409788333,0.9849282034418503,0.9861056130187859,351.28515625
0.15,6,110,28,0.9954054978543442,0.9997458745138421,0.9878524059465066,0.9843409905889353,0.9860935722969528,340.84765625
0.15,7,90,26,0.9953899496237328,0.9997635161176628,0.986528424319368,0.9856015408465261,0.9860647647694694,263.41015625
0.15,6,110,26,0.9953899496237328,0.9996190486695946,0.9888423439739209,0.9832370304254553,0.9860317211055276,319.17578125
0.15,7,70,30,0.9953782884507743,0.9997464515306029,0.9868250794024233,0.9852257246206605,0.9860247534644272,234.51953125
0.15,7,90,24,0.9953692186495844,0.999732964899674,0.9872752963340922,0.9847089773100953,0.985990466932171,244.94140625
0.12,7,100,26,0.9953679229637,0.9997473215322995,0.9877423055466067,0.9842235480183523,0.9859797873633764,292.62890625
0.15,7,80,24,0.9953627402201629,0.9997058442427429,0.9869384104869267,0.9850143279936111,0.9859754305531064,218.23828125
0.15,7,120,18,0.9953523747330887,0.9996975791962339,0.9874653451349674,0.9844114561312851,0.9859360358205678,249.70703125
0.12,7,110,22,0.9953433049318987,0.9997403243143865,0.9872120955207009,0.9846150232536289,0.985911849099205,276.09765625
0.15,7,110,22,0.9953407135601302,0.9997041124326922,0.9867151842150665,0.9851082820500775,0.985911078374524,275.23828125
0.15,7,120,16,0.9953433049318987,0.999766820314038,0.9874340286504146,0.9843879676171685,0.9859086453636542,225.23828125
0.15,6,100,30,0.9953407135601302,0.9997806332928536,0.9869825178117447,0.9848342493853839,0.9859072133434705,330.51953125
0.15,7,110,18,0.9953368265024773,0.9996979142176367,0.986951643402459,0.9848420788900895,0.9858957326655459,229.37890625
0.15,5,120,28,0.9953446006177831,0.9997551518697113,0.9888238676191451,0.9829786567701727,0.9858925984239602,333.01953125
0.15,6,100,24,0.995339417874246,0.9997395290860583,0.9877325202165866,0.9840591284195361,0.985892402605807,270.89453125
0.1,7,120,24,0.9953329394448245,0.9997579824933149,0.9871577493092187,0.9846071937489235,0.985880821907069,326.48828125
0.15,6,100,22,0.9953342351307088,0.9997503331327401,0.987877834990763,0.9838790498113089,0.9858743875697749,250.20703125
0.12,7,120,20,0.9953173912142131,0.9997400985355256,0.9870418334510634,0.9846306822630401,0.9858347835630183,275.70703125
0.15,6,120,16,0.9953186869000974,0.9997467660929618,0.9875623649577686,0.9841061054477693,0.9858312058573239,224.97265625
0.15,7,100,22,0.9953135041565603,0.9997006759150499,0.9865527110205041,0.9851082820500775,0.9858299674445755,250.56640625
0.12,6,120,26,0.9953225739577503,0.9997635849283688,0.9887145804785081,0.9829551682560561,0.9858264625049077,348.45703125
0.15,6,100,28,0.9953135041565603,0.9996976752188056,0.9874241007957143,0.9842157185136469,0.9858172992091095,311.08203125
0.15,5,120,30,0.9953199825859818,0.9997594171366644,0.9889454442308299,0.9827046241054791,0.9858151572035596,337.45703125
0.15,6,120,18,0.995312208470676,0.9997160490084104,0.9875848629620316,0.9840434694101251,0.9858109857011758,250.09765625
0.15,6,120,28,0.995303138669486,0.9995857635495604,0.9866358182032077,0.9849595214606724,0.9857969572184762,371.44140625
0.1,7,110,26,0.995303138669486,0.999752522341612,0.9871936808549062,0.9843879676171685,0.9857888278625221,322.31640625
0.15,7,80,26,0.9952979559259489,0.999755432224257,0.9861625857002938,0.9854136327335933,0.9857879669626038,234.62890625
0.15,5,120,24,0.995303138669486,0.9997621024925469,0.988320938102546,0.9832370304254553,0.9857724295195595,308.66015625
0.12,6,110,30,0.995303138669486,0.9997574537978255,0.9887440431649009,0.9828064076666511,0.9857662843523365,361.61328125
0.15,6,100,26,0.9953005472977176,0.9997483741701673,0.9889056110187454,0.9826263290584237,0.9857559703573379,290.61328125
0.12,7,100,22,0.9952772249518005,0.9997435976823983,0.9869392880970135,0.9844897511783405,0.9857129978402913,251.44140625
0.12,7,90,30,0.9952733378941476,0.9997530184035286,0.9869772042200452,0.9844271151406963,0.9857005103600743,301.09765625
0.12,7,110,20,0.9952668594647263,0.9997233315041684,0.9873056770960166,0.9840512989148307,0.9856758017904268,253.05078125
0.15,7,110,16,0.9952642680929576,0.9997539512228779,0.9871983161466146,0.9841452529712971,0.9856694203858867,206.89453125
0.12,7,90,28,0.9952642680929576,0.9997517845213855,0.9872059689770273,0.9841374234665915,0.9856693080098962,282.41015625
0.15,6,110,16,0.9952551982917678,0.999738987772335,0.987404334229095,0.9838790498113089,0.9856385398528558,206.58203125
0.15,5,110,24,0.995256493977652,0.9997541764060802,0.9883330053139145,0.9829395092466451,0.9856288788484261,284.37890625
0.12,6,120,28,0.9952551982917678,0.9997248835165428,0.9885406001417658,0.9827202831148901,0.9856218491354263,371.16015625
